zcta,population,sdi_score,fpl_100_score,sing_parent_fam_score,black_score,dropout_score,no_car_score,rent_occup_score,crowding_score,nonemp_score,unemp_score,highneeds_score,hisp_score,foreignb_score,lingisol_score,percnt_ltfpl100,percnt_singlparntfly,percnt_black,percnt_dropout,percnt_hhnocar,percnt_rentoccup,percnt_crowding,percnt_nonemp,percnt_unemp,percnt_highneeds,percnt_hispanic,percnt_frgnborn,percnt_lingisol
21532,15749,61,73,34,61,40,78,62,49,75,75,88,8,28,27,20.12,14.11,7.52,9.10,10.10,38.01,2.05,10.48,9.32,43.72,1.30,3.99,0.86
21536,3967,48,48,50,18,60,74,32,40,28,28,66,3,2,48,13.07,17.02,0.91,13.30,9.31,26.19,1.67,6.02,5.72,41.29,0.35,0.23,2.08
21538,532,27,40,2,1,72,18,3,1,88,88,89,13,3,1,11.09,4.52,0.00,16.88,2.90,9.18,0.00,13.01,16.60,43.98,1.88,0.38,0.00
21539,2418,47,53,40,36,40,74,40,7,90,90,60,3,13,1,14.28,15.24,2.52,9.10,9.21,28.99,0.32,13.85,13.70,40.82,0.37,1.70,0.00
21540,97,68,89,72,1,64,63,53,1,51,51,91,36,15,1,27.84,22.22,0.00,14.29,7.32,34.15,0.00,7.89,7.89,44.33,5.15,2.06,0.00
21541,1240,21,55,26,1,7,45,31,1,1,1,7,9,14,1,14.68,12.72,0.00,3.26,5.38,25.63,0.00,0.71,0.70,35.65,1.37,1.85,0.00
21542,673,48,71,35,1,16,83,44,15,93,93,5,1,1,1,19.46,14.29,0.00,5.08,11.99,30.48,0.68,15.04,14.83,34.92,0.00,0.00,0.00
21543,120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.17,0.00,0.00,0.00
21545,2037,22,15,32,24,42,28,6,33,82,82,74,3,5,1,5.99,13.85,1.37,9.51,3.77,13.21,1.38,11.76,10.66,42.02,0.49,0.69,0.00
21550,14384,47,54,15,15,62,78,43,41,37,37,71,4,13,11,14.57,10.53,0.74,13.77,10.04,30.13,1.71,6.68,6.63,41.75,0.60,1.79,0.19
21555,1564,23,18,35,52,56,1,13,1,95,95,79,4,1,1,6.65,14.32,5.05,12.43,0.00,17.75,0.00,16.19,12.70,42.46,0.51,0.00,0.00
21557,1795,8,3,3,1,33,34,1,1,58,58,52,1,1,1,2.90,6.31,0.00,7.95,4.33,5.92,0.00,8.52,8.52,40.33,0.00,0.00,0.00
21561,2576,2,1,3,14,19,9,2,10,7,7,68,7,9,1,2.05,5.91,0.62,5.59,1.93,8.20,0.48,3.89,4.37,41.50,1.13,1.28,0.00
21562,3141,37,43,18,8,53,75,26,18,56,56,80,1,3,1,11.83,11.10,0.25,11.69,9.46,23.48,0.80,8.33,8.57,42.63,0.00,0.32,0.00
21601,23920,49,39,62,72,56,67,59,12,28,28,94,50,45,48,11.01,19.55,12.64,12.44,8.00,36.88,0.58,6.00,6.00,45.39,8.09,7.32,2.09
21607,782,22,2,20,80,88,3,9,59,26,26,1,55,55,36,2.81,11.62,18.54,24.72,0.89,15.63,2.68,5.83,6.65,29.92,9.72,9.72,1.34
21610,326,51,74,55,40,9,74,21,72,88,88,33,1,1,1,20.25,18.06,3.07,3.70,9.23,21.54,3.85,13.18,10.08,38.96,0.00,0.00,0.00
21612,400,28,43,74,1,6,41,1,1,86,86,100,1,47,1,11.75,22.56,0.00,2.98,4.98,4.52,0.00,12.50,12.50,58.25,0.00,7.75,0.00
21613,17604,77,76,83,91,62,85,76,12,79,79,95,29,19,32,21.18,25.73,35.90,13.68,12.66,45.95,0.59,11.19,7.19,45.50,3.86,2.52,1.13
21617,10274,7,9,8,57,32,32,11,4,3,3,38,25,24,35,4.78,8.43,6.39,7.66,4.16,16.86,0.11,3.08,2.87,39.35,3.27,3.28,1.27
21619,6036,17,28,25,47,30,4,20,1,63,63,78,29,34,16,8.66,12.59,4.16,7.47,1.24,21.48,0.00,8.98,8.53,42.38,3.99,5.09,0.39
21620,12860,50,50,43,79,57,81,43,29,40,40,99,10,14,11,13.65,15.75,17.69,12.57,11.07,30.24,1.22,6.98,5.96,49.92,1.47,1.90,0.18
21622,635,27,21,1,82,82,60,1,1,75,75,1,5,3,1,7.29,1.46,20.79,20.86,6.99,5.88,0.00,10.51,10.94,29.76,0.79,0.47,0.00
21623,2212,65,73,64,81,82,20,42,91,23,23,33,44,26,32,20.14,19.87,18.99,21.05,3.03,29.62,8.92,5.61,1.73,39.01,6.65,3.66,1.11
21624,183,25,100,21,1,1,1,28,1,1,1,1,82,44,1,45.90,11.76,0.00,0.00,0.00,24.62,0.00,0.00,0.00,27.87,29.51,7.10,0.00
21625,2896,30,49,29,69,55,20,11,49,10,10,7,3,7,24,13.26,13.29,10.60,12.06,3.08,16.50,2.05,4.36,1.93,35.64,0.28,0.97,0.75
21626,175,42,62,30,1,98,27,18,1,1,1,1,1,53,80,16.57,13.46,0.00,38.86,3.67,20.18,0.00,0.00,0.00,26.29,0.00,9.14,7.34
